"Account.Name","AccountID","Amdocs.Fiscal.Month","Country.Name","CountryID","Org3","OrgID","Portfolio","PortfolioID","Release.Name","ReleaseID","ReleaseProbability","Release.Status","ReleaseStatusID","Actual","Demand","UnitDemand","DemandAVG","DeltaMonth","prediction"
"KT CORP(56)",30,"2017/03","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 1",253,0,"Development",2,2.14,2.23,2.23,2.23,0,"1.60336530178184"
"KT CORP(56)",30,"2017/03","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 2",255,0,"Development",2,0,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/04","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 1",253,0,"Development",2,1.24,2.98,2.42,2.7,0,"1.19246998069706"
"KT CORP(56)",30,"2017/05","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 1",253,0,"Development",2,0,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/06","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 1",253,0,"Development",2,0,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/03","ISRAEL",21,"CSU APAC",1,"APAC",1,"Phase 1",253,0,"Development",2,0.47,0.03,0.03,0.03,0,"0.0168638006809682"
"KT CORP(56)",30,"2017/04","ISRAEL",21,"CSU APAC",1,"APAC",1,"Phase 1",253,0,"Development",2,0.75,0.04,0.03,0.035,0,"0.00925680860903658"
"KT CORP(56)",30,"2017/05","ISRAEL",21,"CSU APAC",1,"APAC",1,"Phase 1",253,0,"Development",2,0,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/06","ISRAEL",21,"CSU APAC",1,"APAC",1,"Phase 1",253,0,"Development",2,0,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/03","KOREA",23,"CSU APAC",1,"APAC",1,"Phase 1",253,0,"Development",2,0,0.74,0.74,0.74,0,"0.512280764130101"
"KT CORP(56)",30,"2017/03","KOREA",23,"CSU APAC",1,"APAC",1,"Phase 2",255,0,"Development",2,0,9.25,9.25,9.25,0,"3.06627110976203"
"KT CORP(56)",30,"2017/04","KOREA",23,"CSU APAC",1,"APAC",1,"Phase 1",253,0,"Development",2,0,0.98,0.8,0.89,0,"0.519482194000855"
"KT CORP(56)",30,"2017/04","KOREA",23,"CSU APAC",1,"APAC",1,"Phase 2",255,0,"Development",2,0,9.25,1,5.125,0,"0.14145056514941"
"KT CORP(56)",30,"2017/05","KOREA",23,"CSU APAC",1,"APAC",1,"Phase 2",255,0,"Development",2,0,0.5,0,0.25,0,"0.195705863064102"
"KT CORP(56)",30,"2017/04","KOREA",23,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,0.36,0.18,0.27,0,"0.195014144618214"
"KT CORP(56)",30,"2017/05","KOREA",23,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,0.36,0.18,0.27,0,"0.195014144618214"
"KT CORP(56)",30,"2017/06","KOREA",23,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,0.36,0.18,0.27,0,"0.195014144618214"
"KT CORP(56)",30,"2017/07","KOREA",23,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,0.18,0.18,0.18,0,"0.0988320246659693"
"KT CORP(56)",30,"2017/08","KOREA",23,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,0.18,0.18,0.18,0,"0.0988320246659693"
"KT CORP(56)",30,"2017/09","KOREA",23,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,0.18,0.18,0.18,0,"0.0988320246659693"
"KT CORP(56)",30,"2017/10","KOREA",23,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,0.18,0.18,0.18,0,"0.0988320246659693"
"KT CORP(56)",30,"2017/04","PHILIPPINES",30,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,1.64,0.82,1.23,0,"0.328085857642877"
"KT CORP(56)",30,"2017/05","PHILIPPINES",30,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,1.64,0.82,1.23,0,"0.328085857642877"
"KT CORP(56)",30,"2017/06","PHILIPPINES",30,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,1.64,0.82,1.23,0,"0.328085857642877"
"KT CORP(56)",30,"2017/07","PHILIPPINES",30,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,0.82,0.82,0.82,0,"0.566991792674435"
"KT CORP(56)",30,"2017/08","PHILIPPINES",30,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,0.82,0.82,0.82,0,"0.566991792674435"
"KT CORP(56)",30,"2017/09","PHILIPPINES",30,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,0.82,0.82,0.82,0,"0.566991792674435"
"KT CORP(56)",30,"2017/10","PHILIPPINES",30,"CSU APAC",1,"APAC",1,"KT Fast Track CR",154,0,"Production",4,0,0.82,0.82,0.82,0,"0.566991792674435"
"KT CORP(56)",30,"2017/03","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,1.63,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/04","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,2.41,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/05","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,3.59,8.19,3,5.595,0,"0.144462221367774"
"KT CORP(56)",30,"2017/06","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,3.38,4,3,3.5,0,"1.16819415508262"
"KT CORP(56)",30,"2017/07","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,3.86,3.5,3,3.25,0,"1.70121615000454"
"KT CORP(56)",30,"2017/08","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,3.82,3.5,3,3.25,0,"1.70121615000454"
"KT CORP(56)",30,"2017/09","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,3.6,3.5,3,3.25,0,"1.70121615000454"
"KT CORP(56)",30,"2017/10","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,0,3.5,3,3.25,0,"1.70121615000454"
"KT CORP(56)",30,"2017/11","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,0,2.38,3,2.69,0,"2.07998541076255"
"KT CORP(56)",30,"2017/12","INDIA",18,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,0,0,1.35,0.675,0,"0.315702305687952"
"KT CORP(56)",30,"2017/03","ISRAEL",21,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,0.13,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/04","ISRAEL",21,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,0.25,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/05","ISRAEL",21,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,1.73,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/06","ISRAEL",21,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,2,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/07","ISRAEL",21,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,2,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/08","ISRAEL",21,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,2,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/09","ISRAEL",21,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,1.83,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/04","TAIWAN",39,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,0.56,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/05","TAIWAN",39,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,0.47,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/06","TAIWAN",39,"CSU APAC",1,"APAC",1,"Phase 3",256,0,"Development",2,0,0,0,0,0,"0.0395429155005845"
"KT CORP(56)",30,"2017/03","INDIA",18,"DCC BC&S-CC",10,"APAC",1,"Phase 1",253,0,"Development",2,1,2.91,0.96,1.935,0,"0.184281431990958"
"KT CORP(56)",30,"2017/03","INDIA",18,"DCC BC&S-CC",10,"APAC",1,"Phase 2",255,0,"Development",2,0.6,1,3.91,2.455,0,"0.977051404256444"
"KT CORP(56)",30,"2017/04","INDIA",18,"DCC BC&S-CC",10,"APAC",1,"Phase 1",253,0,"Development",2,1,2.91,0,1.455,0,"0.145172772916555"
"KT CORP(56)",30,"2017/04","INDIA",18,"DCC BC&S-CC",10,"APAC",1,"Phase 2",255,0,"Development",2,0,1,3.91,2.455,0,"0.977051404256444"
"KT CORP(56)",30,"2017/05","INDIA",18,"DCC BC&S-CC",10,"APAC",1,"Phase 1",253,0,"Development",2,0,0,0,0,0,"0.0395429155005845"
